Variable,Coef,Std.Err.,t,P>|t|,[0.025,0.975],VIF
COVID_ASP,-0.2795,0.0143,-19.4856,0.0,-0.3076,-0.2514,6.6431
LIFESAT,-0.0606,0.0101,-5.9802,0.0,-0.0805,-0.0407,8.9208
job_perception,0.2146,0.0244,8.7931,0.0,0.1668,0.2625,6.3973
CONF_FUTJOB,0.159,0.0196,8.0982,0.0,0.1205,0.1975,7.8966
JOBPER7,-0.1164,0.0151,-7.7232,0.0,-0.146,-0.0869,5.3408
RIGHT_DEC_WORK,0.0536,0.0179,2.9987,0.0027,0.0185,0.0886,4.6595
NO_CAR_RES_05,-0.1334,0.0405,-3.2961,0.001,-0.2127,-0.054,6.3314
PREV_PG_02,0.1885,0.0369,5.1093,0.0,0.1161,0.2608,8.0634
BROAD,-0.0994,0.0163,-6.0855,0.0,-0.1314,-0.0674,1.6886
NO_CAR_RES_01,0.1795,0.04,4.4844,0.0,0.101,0.258,2.7617
NO_CAR_RES_03,0.0876,0.043,2.0391,0.0415,0.0034,0.1719,5.7695
mental_health,0.1274,0.023,5.5399,0.0,0.0823,0.1725,1.4975
